radius	n_rotors	profile	elevation	wind_speed	anchor_tension	iterations
3.0	2	bottom_lifty	45.0	6.0	161.02959646542558	20
3.0	2	bottom_lifty	45.0	8.0	308.8357957656682	2
3.0	2	bottom_lifty	45.0	10.0	471.1095615680426	3
3.0	2	bottom_lifty	45.0	12.0	673.2797130015263	3
3.0	2	bottom_lifty	55.0	6.0	163.94809897627692	8
3.0	2	bottom_lifty	55.0	8.0	308.98982277716925	5
3.0	2	bottom_lifty	55.0	10.0	471.0377149047546	4
3.0	2	bottom_lifty	55.0	12.0	673.1307536906364	4
3.0	2	graded	45.0	6.0	161.02959646542558	20
3.0	2	graded	45.0	8.0	308.8357957656682	2
3.0	2	graded	45.0	10.0	471.1095615680426	3
3.0	2	graded	45.0	12.0	673.2797130015263	3
3.0	2	graded	55.0	6.0	163.94809897627692	8
3.0	2	graded	55.0	8.0	308.98982277716925	5
3.0	2	graded	55.0	10.0	471.0377149047546	4
3.0	2	graded	55.0	12.0	673.1307536906364	4
3.0	3	uniform	45.0	6.0	244.9482234252177	20
3.0	3	uniform	45.0	8.0	463.23325171981935	2
3.0	3	uniform	45.0	10.0	706.7803292185199	4
3.0	3	uniform	45.0	12.0	1010.0875022861109	4
3.0	3	uniform	55.0	6.0	249.1744719688547	20
3.0	3	uniform	55.0	8.0	463.41475717902534	5
3.0	3	uniform	55.0	10.0	706.6028283512572	5
3.0	3	uniform	55.0	12.0	1009.6232614429242	5
3.0	3	top_draggy	45.0	6.0	244.9482234252177	20
3.0	3	top_draggy	45.0	8.0	463.23325171981935	2
3.0	3	top_draggy	45.0	10.0	706.7803292185199	4
3.0	3	top_draggy	45.0	12.0	1010.0875022861109	4
3.0	3	top_draggy	55.0	6.0	249.1744719688547	20
3.0	3	top_draggy	55.0	8.0	463.41475717902534	5
3.0	3	top_draggy	55.0	10.0	706.6028283512572	5
3.0	3	top_draggy	55.0	12.0	1009.6232614429242	5
3.0	3	bottom_lifty	45.0	6.0	244.9482234252177	20
3.0	3	bottom_lifty	45.0	8.0	463.23325171981935	2
3.0	3	bottom_lifty	45.0	10.0	706.7803292185199	4
3.0	3	bottom_lifty	45.0	12.0	1010.0875022861109	4
3.0	3	bottom_lifty	55.0	6.0	249.1744719688547	20
3.0	3	bottom_lifty	55.0	8.0	463.41475717902534	5
3.0	3	bottom_lifty	55.0	10.0	706.6028283512572	5
3.0	3	bottom_lifty	55.0	12.0	1009.6232614429242	5
3.0	3	graded	45.0	6.0	244.9482234252177	20
3.0	3	graded	45.0	8.0	463.23325171981935	2
3.0	3	graded	45.0	10.0	706.7803292185199	4
3.0	3	graded	45.0	12.0	1010.0875022861109	4
3.0	3	graded	55.0	6.0	249.1744719688547	20
3.0	3	graded	55.0	8.0	463.41475717902534	5
3.0	3	graded	55.0	10.0	706.6028283512572	5
3.0	3	graded	55.0	12.0	1009.6232614429242	5
3.0	4	uniform	45.0	6.0	328.9019137368648	20
3.0	4	uniform	45.0	8.0	617.5598775136507	2
3.0	4	uniform	45.0	10.0	942.5883597670822	4
3.0	4	uniform	45.0	12.0	1346.7862006244256	5
3.0	4	uniform	55.0	6.0	333.09303791348214	20
3.0	4	uniform	55.0	8.0	617.7337059834372	6
3.0	4	uniform	55.0	10.0	942.0590240727946	6
3.0	4	uniform	55.0	12.0	1346.0751817768867	6
3.0	4	top_draggy	45.0	6.0	328.9019137368648	20
3.0	4	top_draggy	45.0	8.0	617.5598775136507	2
3.0	4	top_draggy	45.0	10.0	942.5883597670822	4
3.0	4	top_draggy	45.0	12.0	1346.7862006244256	5
3.0	4	top_draggy	55.0	6.0	333.09303791348214	20
3.0	4	top_draggy	55.0	8.0	617.7337059834372	6
3.0	4	top_draggy	55.0	10.0	942.0590240727946	6
3.0	4	top_draggy	55.0	12.0	1346.0751817768867	6
3.0	4	bottom_lifty	45.0	6.0	328.9019137368648	20
3.0	4	bottom_lifty	45.0	8.0	617.5598775136507	2
3.0	4	bottom_lifty	45.0	10.0	942.5883597670822	4
3.0	4	bottom_lifty	45.0	12.0	1346.7862006244256	5
3.0	4	bottom_lifty	55.0	6.0	333.09303791348214	20
3.0	4	bottom_lifty	55.0	8.0	617.7337059834372	6
3.0	4	bottom_lifty	55.0	10.0	942.0590240727946	6
3.0	4	bottom_lifty	55.0	12.0	1346.0751817768867	6
3.0	4	graded	45.0	6.0	328.9019137368648	20
3.0	4	graded	45.0	8.0	617.5598775136507	2
3.0	4	graded	45.0	10.0	942.5883597670822	4
3.0	4	graded	45.0	12.0	1346.7862006244256	5
3.0	4	graded	55.0	6.0	333.09303791348214	20
3.0	4	graded	55.0	8.0	617.7337059834372	6
3.0	4	graded	55.0	10.0	942.0590240727946	6
3.0	4	graded	55.0	12.0	1346.0751817768867	6
