radius	n_rotors	profile	elevation	wind_speed	tension_with_snel	tension_without_snel	snel_boost_pct
2.0	1	uniform	55.0	8.0	89.82984430061416	90.41055211960871	-0.6423009321149886
2.0	1	uniform	55.0	10.0	142.24744164827518	142.827009227164	-0.40578289920433386
2.0	1	uniform	55.0	12.0	206.64999734998398	207.38614240217635	-0.35496347232535475
2.0	1	top_draggy	45.0	6.0	0.0	0.0	0.0
2.0	1	top_draggy	45.0	8.0	89.81358720328751	90.38920233347275	-0.636818464291371
2.0	1	top_draggy	45.0	10.0	142.22451453925788	142.93451566102496	-0.49673175053873964
2.0	1	top_draggy	45.0	12.0	206.58309714009698	207.31852967359427	-0.35473555338018536
2.0	1	top_draggy	55.0	6.0	0.0	0.0	0.0
2.0	1	top_draggy	55.0	8.0	89.82984430061416	90.41055211960871	-0.6423009321149886
2.0	1	top_draggy	55.0	10.0	142.24744164827518	142.827009227164	-0.40578289920433386
2.0	1	top_draggy	55.0	12.0	206.64999734998398	207.38614240217635	-0.35496347232535475
2.0	1	bottom_lifty	45.0	6.0	0.0	0.0	0.0
2.0	1	bottom_lifty	45.0	8.0	89.81358720328751	90.38920233347275	-0.636818464291371
2.0	1	bottom_lifty	45.0	10.0	142.22451453925788	142.93451566102496	-0.49673175053873964
2.0	1	bottom_lifty	45.0	12.0	206.58309714009698	207.31852967359427	-0.35473555338018536
2.0	1	bottom_lifty	55.0	6.0	0.0	0.0	0.0
2.0	1	bottom_lifty	55.0	8.0	89.82984430061416	90.41055211960871	-0.6423009321149886
2.0	1	bottom_lifty	55.0	10.0	142.24744164827518	142.827009227164	-0.40578289920433386
2.0	1	bottom_lifty	55.0	12.0	206.64999734998398	207.38614240217635	-0.35496347232535475
2.0	1	graded	45.0	6.0	0.0	0.0	0.0
2.0	1	graded	45.0	8.0	89.81358720328751	90.38920233347275	-0.636818464291371
2.0	1	graded	45.0	10.0	142.22451453925788	142.93451566102496	-0.49673175053873964
2.0	1	graded	45.0	12.0	206.58309714009698	207.31852967359427	-0.35473555338018536
2.0	1	graded	55.0	6.0	0.0	0.0	0.0
2.0	1	graded	55.0	8.0	89.82984430061416	90.41055211960871	-0.6423009321149886
2.0	1	graded	55.0	10.0	142.24744164827518	142.827009227164	-0.40578289920433386
2.0	1	graded	55.0	12.0	206.64999734998398	207.38614240217635	-0.35496347232535475
2.0	2	uniform	45.0	6.0	39.997359006102435	40.151206070557194	-0.38316922332147446
2.0	2	uniform	45.0	8.0	179.6655352600437	180.82883826455662	-0.6433171919243256
2.0	2	uniform	45.0	10.0	284.40284752597944	285.80212754921934	-0.4895974831394212
2.0	2	uniform	45.0	12.0	413.2199312246369	414.6856015539797	-0.35344133576145226
2.0	2	uniform	55.0	6.0	39.99573360705102	40.151206070557194	-0.3872174181591506
2.0	2	uniform	55.0	8.0	179.6852891516268	180.85528766907	-0.6469252475405023
2.0	2	uniform	55.0	10.0	284.43138787791327	285.67699430971714	-0.43601916031553184
2.0	2	uniform	55.0	12.0	413.2787213651594	414.7490932046592	-0.3545208087469411
2.0	2	top_draggy	45.0	6.0	39.997359006102435	40.151206070557194	-0.38316922332147446
2.0	2	top_draggy	45.0	8.0	179.6655352600437	180.82883826455662	-0.6433171919243256
2.0	2	top_draggy	45.0	10.0	284.40284752597944	285.80212754921934	-0.4895974831394212
2.0	2	top_draggy	45.0	12.0	413.2199312246369	414.6856015539797	-0.35344133576145226
2.0	2	top_draggy	55.0	6.0	39.99573360705102	40.151206070557194	-0.3872174181591506
2.0	2	top_draggy	55.0	8.0	179.6852891516268	180.85528766907	-0.6469252475405023
2.0	2	top_draggy	55.0	10.0	284.43138787791327	285.67699430971714	-0.43601916031553184
2.0	2	top_draggy	55.0	12.0	413.2787213651594	414.7490932046592	-0.3545208087469411
2.0	2	bottom_lifty	45.0	6.0	39.997359006102435	40.151206070557194	-0.38316922332147446
2.0	2	bottom_lifty	45.0	8.0	179.6655352600437	180.82883826455662	-0.6433171919243256
2.0	2	bottom_lifty	45.0	10.0	284.40284752597944	285.80212754921934	-0.4895974831394212
2.0	2	bottom_lifty	45.0	12.0	413.2199312246369	414.6856015539797	-0.35344133576145226
2.0	2	bottom_lifty	55.0	6.0	39.99573360705102	40.151206070557194	-0.3872174181591506
2.0	2	bottom_lifty	55.0	8.0	179.6852891516268	180.85528766907	-0.6469252475405023
2.0	2	bottom_lifty	55.0	10.0	284.43138787791327	285.67699430971714	-0.43601916031553184
2.0	2	bottom_lifty	55.0	12.0	413.2787213651594	414.7490932046592	-0.3545208087469411
2.0	2	graded	45.0	6.0	39.997359006102435	40.151206070557194	-0.38316922332147446
2.0	2	graded	45.0	8.0	179.6655352600437	180.82883826455662	-0.6433171919243256
2.0	2	graded	45.0	10.0	284.40284752597944	285.80212754921934	-0.4895974831394212
2.0	2	graded	45.0	12.0	413.2199312246369	414.6856015539797	-0.35344133576145226
2.0	2	graded	55.0	6.0	39.99573360705102	40.151206070557194	-0.3872174181591506
2.0	2	graded	55.0	8.0	179.6852891516268	180.85528766907	-0.6469252475405023
2.0	2	graded	55.0	10.0	284.43138787791327	285.67699430971714	-0.43601916031553184
2.0	2	graded	55.0	12.0	413.2787213651594	414.7490932046592	-0.3545208087469411
2.0	3	uniform	45.0	6.0	79.97596021426838	80.48893291880142	-0.637320791729885
2.0	3	uniform	45.0	8.0	269.5260172585795	271.2797149283342	-0.6464536687595734
2.0	3	uniform	45.0	10.0	426.5398391817823	428.61719628309095	-0.48466489896419807
2.0	3	uniform	45.0	12.0	619.9789469955007	622.1552552011391	-0.3498014663453769
2.0	3	uniform	55.0	6.0	79.97539082524517	82.28220711823573	-2.8035420703722407
2.0	3	uniform	55.0	8.0	269.54668798303874	271.30780583199703	-0.6491217027676809
2.0	3	uniform	55.0	10.0	426.5748947194503	428.5248593056064	-0.4550411822819078
2.0	3	uniform	55.0	12.0	619.8306803370484	622.0369367172608	-0.3546825357117349
2.0	3	top_draggy	45.0	6.0	79.97596021426838	80.48893291880142	-0.637320791729885
2.0	3	top_draggy	45.0	8.0	269.5260172585795	271.2797149283342	-0.6464536687595734
2.0	3	top_draggy	45.0	10.0	426.5398391817823	428.61719628309095	-0.48466489896419807
2.0	3	top_draggy	45.0	12.0	619.9789469955007	622.1552552011391	-0.3498014663453769
2.0	3	top_draggy	55.0	6.0	79.97539082524517	82.28220711823573	-2.8035420703722407
2.0	3	top_draggy	55.0	8.0	269.54668798303874	271.30780583199703	-0.6491217027676809
2.0	3	top_draggy	55.0	10.0	426.5748947194503	428.5248593056064	-0.4550411822819078
2.0	3	top_draggy	55.0	12.0	619.8306803370484	622.0369367172608	-0.3546825357117349
2.0	3	bottom_lifty	45.0	6.0	79.97596021426838	80.48893291880142	-0.637320791729885
2.0	3	bottom_lifty	45.0	8.0	269.5260172585795	271.2797149283342	-0.6464536687595734
2.0	3	bottom_lifty	45.0	10.0	426.5398391817823	428.61719628309095	-0.48466489896419807
2.0	3	bottom_lifty	45.0	12.0	619.9789469955007	622.1552552011391	-0.3498014663453769
2.0	3	bottom_lifty	55.0	6.0	79.97539082524517	82.28220711823573	-2.8035420703722407
2.0	3	bottom_lifty	55.0	8.0	269.54668798303874	271.30780583199703	-0.6491217027676809
2.0	3	bottom_lifty	55.0	10.0	426.5748947194503	428.5248593056064	-0.4550411822819078
2.0	3	bottom_lifty	55.0	12.0	619.8306803370484	622.0369367172608	-0.3546825357117349
2.0	3	graded	45.0	6.0	79.97596021426838	80.48893291880142	-0.637320791729885
2.0	3	graded	45.0	8.0	269.5260172585795	271.2797149283342	-0.6464536687595734
2.0	3	graded	45.0	10.0	426.5398391817823	428.61719628309095	-0.48466489896419807
2.0	3	graded	45.0	12.0	619.9789469955007	622.1552552011391	-0.3498014663453769
2.0	3	graded	55.0	6.0	79.97539082524517	82.28220711823573	-2.8035420703722407
2.0	3	graded	55.0	8.0	269.54668798303874	271.30780583199703	-0.6491217027676809
2.0	3	graded	55.0	10.0	426.5748947194503	428.5248593056064	-0.4550411822819078
2.0	3	graded	55.0	12.0	619.8306803370484	622.0369367172608	-0.3546825357117349
2.0	4	uniform	45.0	6.0	122.78131380643056	121.66726005025572	0.9156561557436821
2.0	4	uniform	45.0	8.0	359.3841034254007	361.72970645913495	-0.6484408086619801
2.0	4	uniform	45.0	10.0	568.6000454261396	571.3335696879644	-0.4784462889722708
2.0	4	uniform	45.0	12.0	826.6895153311542	829.818846913382	-0.3771102083144705
2.0	4	uniform	55.0	6.0	122.9177048756015	123.42952146661004	-0.4146630278778123
2.0	4	uniform	55.0	8.0	359.40818409393466	361.7612272949225	-0.6504409603491117
