radius	n_rotors	spacing	profile	elevation	wind_speed	anchor_tension	total_lift	profile_min	profile_max	tip_speed	tip_reynolds
1.5	1	15.0	graded	45.0	12.0	694.1442827560375	724.3843561379986	0.0	694.1442827560375	24.574561328669752	249479.31735597056
1.5	1	15.0	graded	55.0	6.0	155.61208856578827	181.75442221080158	0.0	155.61208856578827	10.606601717798213	107677.51743897358
1.5	1	15.0	graded	55.0	8.0	297.3828759377002	323.1189728192028	0.0	297.3828759377002	14.142135623730951	143570.02325196477
1.5	1	15.0	graded	55.0	10.0	479.65960255872983	504.87339503000436	0.0	479.65960255872983	17.67766952966369	179462.52906495595
1.5	1	15.0	graded	55.0	12.0	702.4422684288772	727.0176888432063	0.0	702.4422684288772	21.213203435596427	215355.03487794715
1.5	2	15.0	uniform	45.0	6.0	296.94923130507703	362.1921780689993	0.0	296.94923130507703	12.287280664334876	124739.65867798528
1.5	2	15.0	uniform	45.0	8.0	579.8890586920766	643.8972054559988	0.0	579.8890586920766	16.383040885779835	166319.54490398036
1.5	2	15.0	uniform	45.0	10.0	943.6688367610758	1006.0893835249981	0.0	943.6688367610758	20.478801107224793	207899.43112997548
1.5	2	15.0	uniform	45.0	12.0	1388.288565512075	1448.7687122759971	0.0	1388.288565512075	24.574561328669752	249479.31735597056
1.5	2	15.0	uniform	55.0	6.0	311.22417713157654	363.50884442160316	0.0	311.22417713157654	10.606601717798213	107677.51743897358
1.5	2	15.0	uniform	55.0	8.0	594.7657518754004	646.2379456384056	0.0	594.7657518754004	14.142135623730951	143570.02325196477
1.5	2	15.0	uniform	55.0	10.0	959.3192051174597	1009.7467900600087	0.0	959.3192051174597	17.67766952966369	179462.52906495595
1.5	2	15.0	uniform	55.0	12.0	1404.8845368577545	1454.0353776864126	0.0	1404.8845368577545	21.213203435596427	215355.03487794715
1.5	2	15.0	top_draggy	45.0	6.0	287.5916826315619	352.83462939548417	0.0	287.5916826315619	13.594616805549748	107677.51743897358
1.5	2	15.0	top_draggy	45.0	8.0	563.2534166058274	627.2615633697496	0.0	563.2534166058274	18.126155740732997	143570.02325196477
1.5	2	15.0	top_draggy	45.0	10.0	917.6756460013115	980.0961927652338	0.0	917.6756460013115	22.657694675916247	179462.52906495595
