radius	n_rotors	spacing	profile	elevation	mean_anchor_tension	tension_per_kg	tension_cv	max_tension	min_tension
0.5	1	15.0	uniform	45.0	8.779952546203543	1.7559905092407084	3.516570285395625	52.243492709607246	-25.02502313644378
0.5	1	15.0	uniform	55.0	15.476074954000444	3.0952149908000886	2.001758250747795	59.086074111019705	-18.442813279236756
0.5	1	15.0	uniform	65.0	18.351588756005363	3.6703177512010727	1.512789612716795	57.43260325039203	-12.044755850739826
0.5	1	15.0	top_draggy	45.0	8.779952546203543	1.7559905092407084	3.516570285395625	52.243492709607246	-25.02502313644378
0.5	1	15.0	top_draggy	55.0	15.476074954000444	3.0952149908000886	2.001758250747795	59.086074111019705	-18.442813279236756
0.5	1	15.0	top_draggy	65.0	18.351588756005363	3.6703177512010727	1.512789612716795	57.43260325039203	-12.044755850739826
0.5	1	15.0	bottom_lifty	45.0	8.779952546203543	1.7559905092407084	3.516570285395625	52.243492709607246	-25.02502313644378
0.5	1	15.0	bottom_lifty	55.0	15.476074954000444	3.0952149908000886	2.001758250747795	59.086074111019705	-18.442813279236756
0.5	1	15.0	bottom_lifty	65.0	18.351588756005363	3.6703177512010727	1.512789612716795	57.43260325039203	-12.044755850739826
0.5	1	15.0	graded	45.0	8.779952546203543	1.7559905092407084	3.516570285395625	52.243492709607246	-25.02502313644378
0.5	1	15.0	graded	55.0	15.476074954000444	3.0952149908000886	2.001758250747795	59.086074111019705	-18.442813279236756
0.5	1	15.0	graded	65.0	18.351588756005363	3.6703177512010727	1.512789612716795	57.43260325039203	-12.044755850739826
0.5	1	20.0	uniform	45.0	9.838352546203541	1.9676705092407083	3.214682411467056	54.36029270960724	-24.789823136443783
0.5	1	20.0	uniform	55.0	16.534474954000444	3.306894990800089	1.9190944661725753	61.2028741110197	-18.207613279236757
0.5	1	20.0	uniform	65.0	19.40998875600536	3.881997751201072	1.469034931565469	59.549403250392025	-11.809555850739827
0.5	1	20.0	top_draggy	45.0	9.838352546203541	1.9676705092407083	3.214682411467056	54.36029270960724	-24.789823136443783
0.5	1	20.0	top_draggy	55.0	16.534474954000444	3.306894990800089	1.9190944661725753	61.2028741110197	-18.207613279236757
0.5	1	20.0	top_draggy	65.0	19.40998875600536	3.881997751201072	1.469034931565469	59.549403250392025	-11.809555850739827
0.5	1	20.0	bottom_lifty	45.0	9.838352546203541	1.9676705092407083	3.214682411467056	54.36029270960724	-24.789823136443783
0.5	1	20.0	bottom_lifty	55.0	16.534474954000444	3.306894990800089	1.9190944661725753	61.2028741110197	-18.207613279236757
0.5	1	20.0	bottom_lifty	65.0	19.40998875600536	3.881997751201072	1.469034931565469	59.549403250392025	-11.809555850739827
0.5	1	20.0	graded	45.0	9.838352546203541	1.9676705092407083	3.214682411467056	54.36029270960724	-24.789823136443783
0.5	1	20.0	graded	55.0	16.534474954000444	3.306894990800089	1.9190944661725753	61.2028741110197	-18.207613279236757
0.5	1	20.0	graded	65.0	19.40998875600536	3.881997751201072	1.469034931565469	59.549403250392025	-11.809555850739827
0.5	1	25.0	uniform	45.0	10.896752546203544	2.1793505092407086	2.971439188669399	56.47709270960725	-24.55462313644378
0.5	1	25.0	uniform	55.0	17.592874954000443	3.5185749908000887	1.8463769069667937	63.31967411101971	-17.972413279236754
0.5	1	25.0	uniform	65.0	20.46838875600536	4.0936777512010725	1.4298052723963421	61.66620325039203	-11.574355850739826
0.5	1	25.0	top_draggy	45.0	10.896752546203544	2.1793505092407086	2.971439188669399	56.47709270960725	-24.55462313644378
0.5	1	25.0	top_draggy	55.0	17.592874954000443	3.5185749908000887	1.8463769069667937	63.31967411101971	-17.972413279236754
0.5	1	25.0	top_draggy	65.0	20.46838875600536	4.0936777512010725	1.4298052723963421	61.66620325039203	-11.574355850739826
0.5	1	25.0	bottom_lifty	45.0	10.896752546203544	2.1793505092407086	2.971439188669399	56.47709270960725	-24.55462313644378
0.5	1	25.0	bottom_lifty	55.0	17.592874954000443	3.5185749908000887	1.8463769069667937	63.31967411101971	-17.972413279236754
0.5	1	25.0	bottom_lifty	65.0	20.46838875600536	4.0936777512010725	1.4298052723963421	61.66620325039203	-11.574355850739826
0.5	1	25.0	graded	45.0	10.896752546203544	2.1793505092407086	2.971439188669399	56.47709270960725	-24.55462313644378
0.5	1	25.0	graded	55.0	17.592874954000443	3.5185749908000887	1.8463769069667937	63.31967411101971	-17.972413279236754
0.5	1	25.0	graded	65.0	20.46838875600536	4.0936777512010725	1.4298052723963421	61.66620325039203	-11.574355850739826
0.5	1	30.0	uniform	45.0	11.955152546203545	2.391030509240709	2.771265031868862	58.593892709607246	-24.31942313644378
0.5	1	30.0	uniform	55.0	18.651274954000446	3.730254990800089	1.781912324016331	65.4364741110197	-17.737213279236755
0.5	1	30.0	uniform	65.0	21.526788756005363	4.305357751201073	1.3944331947490312	63.78300325039203	-11.339155850739827
0.5	1	30.0	top_draggy	45.0	11.955152546203545	2.391030509240709	2.771265031868862	58.593892709607246	-24.31942313644378
0.5	1	30.0	top_draggy	55.0	18.651274954000446	3.730254990800089	1.781912324016331	65.4364741110197	-17.737213279236755
0.5	1	30.0	top_draggy	65.0	21.526788756005363	4.305357751201073	1.3944331947490312	63.78300325039203	-11.339155850739827
0.5	1	30.0	bottom_lifty	45.0	11.955152546203545	2.391030509240709	2.771265031868862	58.593892709607246	-24.31942313644378
0.5	1	30.0	bottom_lifty	55.0	18.651274954000446	3.730254990800089	1.781912324016331	65.4364741110197	-17.737213279236755
0.5	1	30.0	bottom_lifty	65.0	21.526788756005363	4.305357751201073	1.3944331947490312	63.78300325039203	-11.339155850739827
0.5	1	30.0	graded	45.0	11.955152546203545	2.391030509240709	2.771265031868862	58.593892709607246	-24.31942313644378
0.5	1	30.0	graded	55.0	18.651274954000446	3.730254990800089	1.781912324016331	65.4364741110197	-17.737213279236755
0.5	1	30.0	graded	65.0	21.526788756005363	4.305357751201073	1.3944331947490312	63.78300325039203	-11.339155850739827
0.5	2	5.0	uniform	45.0	13.326305092407086	1.3326305092407087	4.408064007785449	96.01978541921449	-50.990846272887566
0.5	2	5.0	uniform	55.0	26.718549908000888	2.671854990800089	2.206380474688558	109.7049482220394	-37.826426558473514
0.5	2	5.0	uniform	65.0	32.46957751201072	3.246957751201072	1.617414056179996	106.39800650078405	-25.03031170147965
0.5	2	5.0	top_draggy	45.0	11.244536755696254	1.1244536755696255	5.092639679914404	91.85624874579281	-51.453461458823305
0.5	2	5.0	top_draggy	55.0	20.419274117275133	2.0419274117275132	2.6678936688133557	97.10639664058787	-39.22626562307923
0.5	2	5.0	top_draggy	65.0	26.944435745572413	2.6944435745572415	1.803409084239338	95.34772296790744	-26.258120982910388
0.5	2	5.0	bottom_lifty	45.0	11.244536755696254	1.1244536755696255	5.092639679914404	91.85624874579281	-51.453461458823305
0.5	2	5.0	bottom_lifty	55.0	20.419274117275133	2.0419274117275132	2.6678936688133557	97.10639664058787	-39.22626562307923
0.5	2	5.0	bottom_lifty	65.0	26.944435745572417	2.6944435745572415	1.8034090842393378	95.34772296790744	-26.258120982910388
0.5	2	5.0	graded	45.0	11.97927852159419	1.197927852159419	4.823856009771934	93.32573227758868	-51.29018551084599
0.5	2	5.0	graded	55.0	24.051739894630256	2.4051739894630257	2.372254879168798	104.37132819529812	-38.4190510058892
0.5	2	5.0	graded	65.0	31.69369016006167	3.169369016006167	1.639619163007258	104.84623179688595	-25.202731113023887
0.5	2	10.0	uniform	45.0	15.443105092407086	1.5443105092407086	3.901218232212152	100.2533854192145	-50.52044627288756
0.5	2	10.0	uniform	55.0	28.835349908000893	2.883534990800089	2.096558714763153	113.93854822203942	-37.35602655847351
0.5	2	10.0	uniform	65.0	34.58637751201072	3.458637751201072	1.5619001545117501	110.63160650078406	-24.559911701479653
0.5	2	10.0	top_draggy	45.0	13.361336755696254	1.3361336755696254	4.398369149188588	96.08984874579282	-50.9830614588233
0.5	2	10.0	top_draggy	55.0	22.536074117275138	2.253607411727514	2.4840249087657242	101.33999664058788	-38.75586562307923
0.5	2	10.0	top_draggy	65.0	29.06123574557241	2.906123574557241	1.723793094887918	99.58132296790745	-25.78772098291039
0.5	2	10.0	bottom_lifty	45.0	13.361336755696254	1.3361336755696254	4.398369149188588	96.08984874579282	-50.9830614588233
0.5	2	10.0	bottom_lifty	55.0	22.536074117275138	2.253607411727514	2.4840249087657242	101.33999664058788	-38.75586562307923
0.5	2	10.0	bottom_lifty	65.0	29.061235745572418	2.906123574557242	1.7237930948879177	99.58132296790745	-25.78772098291039
0.5	2	10.0	graded	45.0	14.0960785215942	1.40960785215942	4.206136615382431	97.5593322775887	-50.819785510845975
0.5	2	10.0	graded	55.0	26.16853989463026	2.616853989463026	2.2378235418251675	108.60492819529813	-37.948651005889204
0.5	2	10.0	graded	65.0	33.81049016006167	3.381049016006167	1.581441108767806	109.07983179688597	-24.73233111302389
0.5	2	15.0	uniform	45.0	17.559905092407085	1.7559905092407084	3.516570285395625	104.48698541921449	-50.05004627288756
0.5	2	15.0	uniform	55.0	30.952149908000887	3.0952149908000886	2.001758250747795	118.17214822203941	-36.88562655847351
0.5	2	15.0	uniform	65.0	36.703177512010726	3.6703177512010727	1.512789612716795	114.86520650078405	-24.08951170147965
0.5	2	15.0	top_draggy	45.0	15.478136755696255	1.5478136755696255	3.8939963926763976	100.32344874579282	-50.5126614588233
0.5	2	15.0	top_draggy	55.0	24.652874117275136	2.4652874117275134	2.3317316469271314	105.57359664058788	-38.28546562307923
0.5	2	15.0	top_draggy	65.0	31.178035745572412	3.117803574557241	1.6549879935369078	103.81492296790744	-25.31732098291039
0.5	2	15.0	bottom_lifty	45.0	15.478136755696255	1.5478136755696255	3.8939963926763976	100.32344874579282	-50.5126614588233
0.5	2	15.0	bottom_lifty	55.0	24.65287411727514	2.465287411727514	2.331731646927131	105.57359664058788	-38.28546562307923
0.5	2	15.0	bottom_lifty	65.0	31.17803574557242	3.117803574557242	1.6549879935369076	103.81492296790745	-25.31732098291039
0.5	2	15.0	graded	45.0	16.212878521594195	1.6212878521594196	3.7497196587188544	101.79293227758869	-50.34938551084598
0.5	2	15.0	graded	55.0	28.285339894630262	2.8285339894630264	2.1235131756948276	112.83852819529812	-37.478251005889206
0.5	2	15.0	graded	65.0	35.92729016006167	3.5927290160061673	1.530118640054866	113.31343179688596	-24.261931113023888
0.5	2	20.0	uniform	45.0	19.676705092407083	1.9676705092407083	3.214682411467056	108.72058541921449	-49.579646272887565
0.5	2	20.0	uniform	55.0	33.06894990800089	3.306894990800089	1.9190944661725753	122.4057482220394	-36.41522655847351
0.5	2	20.0	uniform	65.0	38.81997751201072	3.881997751201072	1.469034931565469	119.09880650078405	-23.619111701479653
0.5	2	20.0	top_draggy	45.0	17.59493675569625	1.7594936755696249	3.510983123363201	104.55704874579281	-50.042261458823305
0.5	2	20.0	top_draggy	55.0	26.769674117275134	2.6769674117275133	2.203523428129977	109.80719664058788	-37.815065623079235
0.5	2	20.0	top_draggy	65.0	33.29483574557242	3.329483574557242	1.5949317948477277	108.04852296790746	-24.84692098291039
0.5	2	20.0	bottom_lifty	45.0	17.59493675569625	1.7594936755696249	3.510983123363201	104.55704874579281	-50.042261458823305
0.5	2	20.0	bottom_lifty	55.0	26.769674117275134	2.6769674117275133	2.203523428129977	109.80719664058788	-37.815065623079235
