radius	n_rotors	spacing	profile	elevation	wind_speed	anchor_tension	autorotation_rpm	tip_speed_bem	PC1	PC2	PC3
1.5	3	15.0	top_draggy	45.0	12.0	57.19660771682669	9.54929658551372	1.5	-2.799960586336594	0.8264135088793715	0.6392591440530956
1.5	3	15.0	top_draggy	55.0	10.0	5.001016453538369	9.54929658551372	1.5	-2.7635368381223007	0.050462877575561386	0.34649933224072005
1.5	3	15.0	top_draggy	55.0	12.0	56.09090792056576	9.54929658551372	1.5	-2.801801713914896	0.8225335769585226	0.4195465982479647
1.5	3	15.0	bottom_lifty	45.0	10.0	2.3792786774499746	9.54929658551372	1.5	-2.763496293138622	0.0531432153214182	0.565756850947036
1.5	3	15.0	bottom_lifty	45.0	12.0	56.901064278389896	9.54929658551372	1.5	-2.8017611689312174	0.8252139147043792	0.6388041169542806
1.5	3	15.0	bottom_lifty	55.0	10.0	2.3792786774499746	9.54929658551372	1.5	-2.765337420716924	0.049263283400569076	0.34604430514190504
1.5	3	15.0	bottom_lifty	55.0	12.0	56.90105768443046	9.54929658551372	1.5	-2.8036022965095193	0.8213339827835303	0.4190915711491497
1.5	3	15.0	graded	45.0	10.0	1.7201471271657596	9.54929658551372	1.5	-2.761368093422307	0.054567695145543146	0.5662992216334788
1.5	3	15.0	graded	45.0	12.0	57.157560964603135	9.54929658551372	1.5	-2.799632969214902	0.8266383945285042	0.6393464876407234
1.5	3	15.0	graded	55.0	10.0	1.7201471271657596	9.54929658551372	1.5	-2.7632092210006087	0.050687763224694024	0.34658667582834785
1.5	3	15.0	graded	55.0	12.0	57.15755338970186	9.54929658551372	1.5	-2.801474096793204	0.8227584626076553	0.4196339418355925
1.5	4	15.0	uniform	45.0	10.0	8.56820425890939	9.54929658551372	1.5	-2.758827552384542	-0.10846570381224077	1.4420651482896933
1.5	4	15.0	uniform	45.0	12.0	78.83650273747833	9.54929658551372	1.5	-2.797092428177137	0.6636049955707201	1.515112414296938
1.5	4	15.0	uniform	55.0	10.0	8.56820425890939	9.54929658551372	1.5	-2.7606686799628437	-0.1123456357330899	1.2223526024845621
1.5	4	15.0	uniform	55.0	12.0	78.83575397968562	9.54929658551372	1.5	-2.798933555755439	0.6597250636498712	1.2953998684918069
1.5	4	15.0	top_draggy	45.0	10.0	6.686353250240941	9.54929658551372	1.5	-2.751173372388986	-0.10349839662312728	1.443931705572219
1.5	4	15.0	top_draggy	45.0	12.0	80.47532414706073	9.54929658551372	1.5	-2.789438248181581	0.6685723027598335	1.5169789715794637
1.5	4	15.0	top_draggy	55.0	10.0	6.686353250240941	9.54929658551372	1.5	-2.753014499967288	-0.1073783285439764	1.2242191597670877
1.5	4	15.0	top_draggy	55.0	12.0	79.36870492490894	9.54929658551372	1.5	-2.791279375759883	0.6646923708389846	1.2972664257743325
1.5	4	15.0	bottom_lifty	45.0	10.0	4.064615474152546	9.54929658551372	1.5	-2.7529739549836094	-0.10469799079811959	1.4434766784734039
1.5	4	15.0	bottom_lifty	45.0	12.0	80.18359698268122	9.54929658551372	1.5	-2.7912388307762046	0.6673727085848412	1.5165239444806486
1.5	4	15.0	bottom_lifty	55.0	10.0	4.064615474152546	9.54929658551372	1.5	-2.7548150825619113	-0.10857792271896871	1.2237641326682727
