radius	n_rotors	spacing	profile	elevation	wind_speed	anchor_tension	autorotation_rpm	tip_speed_bem
2.0	1	15.0	uniform	55.0	12.0	211.00563364586196	170.1180008020524	35.62943077087402
2.0	1	15.0	top_draggy	45.0	6.0	0.0	9.549296585513721	2.0
2.0	1	15.0	top_draggy	45.0	8.0	92.57913621711623	123.9241564766111	25.954614639282227
2.0	1	15.0	top_draggy	45.0	10.0	145.73237088135008	146.91781528600004	30.77039527893066
2.0	1	15.0	top_draggy	45.0	12.0	210.9376610685794	170.0915907372617	35.62389945983887
2.0	1	15.0	top_draggy	55.0	6.0	0.0	9.549296585513721	2.0
2.0	1	15.0	top_draggy	55.0	8.0	92.5955880852773	123.93419230123156	25.956716537475586
2.0	1	15.0	top_draggy	55.0	10.0	145.755639410314	146.92890751321215	30.77271842956543
2.0	1	15.0	top_draggy	55.0	12.0	211.00563364586196	170.1180008020524	35.62943077087402
2.0	1	15.0	bottom_lifty	45.0	6.0	0.0	9.549296585513721	2.0
2.0	1	15.0	bottom_lifty	45.0	8.0	92.57913621711623	123.9241564766111	25.954614639282227
2.0	1	15.0	bottom_lifty	45.0	10.0	145.73237088135008	146.91781528600004	30.77039527893066
2.0	1	15.0	bottom_lifty	45.0	12.0	210.9376610685794	170.0915907372617	35.62389945983887
2.0	1	15.0	bottom_lifty	55.0	6.0	0.0	9.549296585513721	2.0
2.0	1	15.0	bottom_lifty	55.0	8.0	92.5955880852773	123.93419230123156	25.956716537475586
2.0	1	15.0	bottom_lifty	55.0	10.0	145.755639410314	146.92890751321215	30.77271842956543
2.0	1	15.0	bottom_lifty	55.0	12.0	211.00563364586196	170.1180008020524	35.62943077087402
2.0	1	15.0	graded	45.0	6.0	0.0	9.549296585513721	2.0
2.0	1	15.0	graded	45.0	8.0	92.57913621711623	123.9241564766111	25.954614639282227
2.0	1	15.0	graded	45.0	10.0	145.73237088135008	146.91781528600004	30.77039527893066
2.0	1	15.0	graded	45.0	12.0	210.9376610685794	170.0915907372617	35.62389945983887
2.0	1	15.0	graded	55.0	6.0	0.0	9.549296585513721	2.0
2.0	1	15.0	graded	55.0	8.0	92.5955880852773	123.93419230123156	25.956716537475586
2.0	1	15.0	graded	55.0	10.0	145.755639410314	146.92890751321215	30.77271842956543
2.0	1	15.0	graded	55.0	12.0	211.00563364586196	170.1180008020524	35.62943077087402
2.0	2	15.0	uniform	45.0	6.0	41.86403623230765	98.23350185079423	20.573976516723633
2.0	2	15.0	uniform	45.0	8.0	185.19708725878053	123.94792553492275	25.959592819213867
2.0	2	15.0	uniform	45.0	10.0	291.41785574861143	146.91781528600004	30.77039527893066
2.0	2	15.0	uniform	45.0	12.0	421.9299299421576	170.11271878909426	35.62832450866699
2.0	2	15.0	uniform	55.0	6.0	42.08026215952646	98.44478236911995	20.618227005004883
2.0	2	15.0	uniform	55.0	8.0	185.2170806591455	123.95003834010599	25.96003532409668
2.0	2	15.0	uniform	55.0	10.0	291.44682894051516	146.92890751321215	30.77271842956543
2.0	2	15.0	uniform	55.0	12.0	421.98965888046155	170.1180008020524	35.62943077087402
2.0	2	15.0	top_draggy	45.0	6.0	24.823071828647816	103.17957878479952	21.609880447387695
2.0	2	15.0	top_draggy	45.0	8.0	89.21120257519405	127.54391995682663	26.712736129760742
2.0	2	15.0	top_draggy	45.0	10.0	265.3579031523514	151.25646072981885	31.67907905578613
2.0	2	15.0	top_draggy	45.0	12.0	393.63170376399705	178.39280230227953	37.36250114440918
2.0	2	15.0	top_draggy	55.0	6.0	0.0	9.549296585513721	2.0
2.0	2	15.0	top_draggy	55.0	8.0	89.21119181288108	127.54391995682663	26.712736129760742
2.0	2	15.0	top_draggy	55.0	10.0	265.18532953392435	151.2057534054207	31.668458938598633
2.0	2	15.0	top_draggy	55.0	12.0	393.5482360084733	178.37959726988416	37.3597354888916
2.0	2	15.0	bottom_lifty	45.0	6.0	47.3965725318868	103.32853155021915	21.641077041625977
2.0	2	15.0	bottom_lifty	45.0	8.0	97.71950853416084	129.09102155226677	27.036760330200195
2.0	2	15.0	bottom_lifty	45.0	10.0	290.0597370903388	155.5919369658628	32.58709907531738
2.0	2	15.0	bottom_lifty	45.0	12.0	431.0641779186584	181.89741790000753	38.096506118774414
2.0	2	15.0	bottom_lifty	55.0	6.0	49.39080254662117	103.32113673207775	21.639528274536133
2.0	2	15.0	bottom_lifty	55.0	8.0	159.52325426466697	127.76893370884352	26.759862899780273
2.0	2	15.0	bottom_lifty	55.0	10.0	290.1739472227173	155.59404977104606	32.587541580200195
2.0	2	15.0	bottom_lifty	55.0	12.0	430.98857784268273	181.89741790000753	38.096506118774414
2.0	2	15.0	graded	45.0	6.0	45.95350224074152	102.34290793222964	21.434648513793945
2.0	2	15.0	graded	45.0	8.0	184.50523656772344	128.60666096400504	26.93531608581543
2.0	2	15.0	graded	45.0	10.0	297.44806704038615	154.66547189300448	32.3930606842041
2.0	2	15.0	graded	45.0	12.0	441.48877004655253	180.82147186043377	37.87116050720215
2.0	2	15.0	graded	55.0	6.0	45.95350224815713	102.34290793222964	21.434648513793945
2.0	2	15.0	graded	55.0	8.0	166.45933873533704	127.54391995682663	26.712736129760742
2.0	2	15.0	graded	55.0	10.0	297.35714568178344	154.66335908782122	32.39261817932129
2.0	2	15.0	graded	55.0	12.0	441.577350309684	180.82094365913795	37.871049880981445
2.0	3	15.0	uniform	45.0	6.0	83.89751710548893	100.05632452264945	20.955747604370117
2.0	3	15.0	uniform	45.0	8.0	277.82367354963594	123.95320754788088	25.9606990814209
2.0	3	15.0	uniform	45.0	10.0	437.0613904945836	146.91781528600004	30.77039527893066
2.0	3	15.0	uniform	45.0	12.0	633.0463566548417	170.16078510701337	35.63839149475098
2.0	3	15.0	uniform	55.0	6.0	85.950682260571	99.93272541942889	20.929861068725586
2.0	3	15.0	uniform	55.0	8.0	277.84459712427133	123.9537357491767	25.9608097076416
2.0	3	15.0	uniform	55.0	10.0	437.09697420565516	146.92890751321215	30.77271842956543
2.0	3	15.0	uniform	55.0	12.0	632.895666641429	170.1180008020524	35.62943077087402
2.0	3	15.0	top_draggy	45.0	6.0	126.40952358311912	103.17957878479952	21.609880447387695
2.0	3	15.0	top_draggy	45.0	8.0	178.54015185653043	127.54391995682663	26.712736129760742
2.0	3	15.0	top_draggy	45.0	10.0	404.445250590695	151.25646072981885	31.67907905578613
2.0	3	15.0	top_draggy	45.0	12.0	595.4311292803508	178.39280230227953	37.36250114440918
2.0	3	15.0	top_draggy	55.0	6.0	38.48271012928072	98.58211470603167	20.646989822387695
2.0	3	15.0	top_draggy	55.0	8.0	178.54014187104787	127.54391995682663	26.712736129760742
2.0	3	15.0	top_draggy	55.0	10.0	404.3601193508972	151.23638908057794	31.674875259399418
2.0	3	15.0	top_draggy	55.0	12.0	595.2583242547544	178.37906906858836	37.3596248626709
2.0	3	15.0	bottom_lifty	45.0	6.0	89.84229416151098	105.1708976700195	22.026941299438477
2.0	3	15.0	bottom_lifty	45.0	8.0	193.3400067956198	129.3614606157237	27.093400955200195
2.0	3	15.0	bottom_lifty	45.0	10.0	441.67422912009715	155.75567936756525	32.62139320373536
2.0	3	15.0	bottom_lifty	45.0	12.0	651.1786204658607	182.2058874567631	38.16111183166504
2.0	3	15.0	bottom_lifty	55.0	6.0	94.01511832550483	105.05627798882779	22.0029354095459
2.0	3	15.0	bottom_lifty	55.0	8.0	253.8423932762797	129.10000097429563	27.038640975952152
2.0	3	15.0	bottom_lifty	55.0	10.0	441.78467311500526	155.7546229649736	32.621171951293945
2.0	3	15.0	bottom_lifty	55.0	12.0	651.0871829617445	182.2021900476924	38.16033744812012
2.0	3	15.0	graded	45.0	6.0	90.13747862628969	104.44197988179573	21.874277114868164
2.0	3	15.0	graded	45.0	8.0	281.7675132885049	128.58606111346828	26.931001663208008
2.0	3	15.0	graded	45.0	10.0	449.2380944665584	154.76318913273013	32.41352653503418
2.0	3	15.0	graded	45.0	12.0	664.1476395724198	181.03380878135113	37.915632247924805
2.0	3	15.0	graded	55.0	6.0	90.2316290211655	104.56135337464977	21.89927864074707
2.0	3	15.0	graded	55.0	8.0	258.11259405915564	128.2554071022885	26.861749649047848
2.0	3	15.0	graded	55.0	10.0	449.14526472794535	154.76107632754687	32.41308403015137
2.0	3	15.0	graded	55.0	12.0	664.1470379750522	180.99789109323575	37.90810966491699
2.0	4	15.0	uniform	45.0	6.0	126.86797329935324	100.98595880328264	21.150449752807617
2.0	4	15.0	uniform	45.0	8.0	370.4478419386556	123.95320754788088	25.9606990814209
2.0	4	15.0	uniform	45.0	10.0	582.6269765102454	146.91781528600004	30.77039527893066
2.0	4	15.0	uniform	45.0	12.0	844.1135479570665	170.16025690571755	35.63828086853027
2.0	4	15.0	uniform	55.0	6.0	130.75893236454698	100.82908301842579	21.11759376525879
2.0	4	15.0	uniform	55.0	8.0	370.47221579364344	123.9537357491767	25.9608097076416
2.0	4	15.0	uniform	55.0	10.0	582.6126863193409	146.88929241602608	30.764421463012695
2.0	4	15.0	uniform	55.0	12.0	843.7718676751936	170.10902138002356	35.62755012512207
2.0	4	15.0	top_draggy	45.0	6.0	168.3348062069926	103.17957878479952	21.609880447387695
2.0	4	15.0	top_draggy	45.0	8.0	266.21727634118633	127.54391995682663	26.712736129760742
2.0	4	15.0	top_draggy	45.0	10.0	542.7173714518418	151.25646072981885	31.67907905578613
